id,id_str,has_tweet_coordinates,default_profile_image,has_description,tweet_favourited_count,user_favourites_count,followers_count,followings_count,retweet_count,user_activity_count,verified,has_text_url,has_exclamation,has_first_noun_words,has_hash,has_mention,has_qmark,polarity_positive,polarity_negative,subjectivity_positive,subjectivity_negative
106,1.12E+18,0,FALSE,1,0,251,1451,1441,0,22250,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
107,1.12E+18,0,FALSE,1,0,0,1222,0,0,357389,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,TRUE,TRUE,FALSE
108,1.12E+18,0,FALSE,1,0,2505,240,39,0,22464,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,TRUE,TRUE,FALSE
109,1.12E+18,0,FALSE,0,2,68556,579,475,0,4319,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
110,1.12E+18,0,FALSE,1,0,223,781,1912,0,67950,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
111,1.12E+18,0,FALSE,1,3,8903,4130,4999,0,77237,FALSE,TRUE,1,FALSE,FALSE,TRUE,0,TRUE,FALSE,TRUE,FALSE
112,1.12E+18,0,FALSE,1,0,0,23,96,0,7211,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
113,1.12E+18,0,FALSE,1,0,0,11229,28032,0,8958,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
114,1.12E+18,0,FALSE,0,1,403,18,22,0,91,FALSE,FALSE,0,FALSE,FALSE,TRUE,0,TRUE,FALSE,TRUE,FALSE
115,1.12E+18,0,FALSE,1,0,376,2112,7,0,55243,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
116,1.12E+18,0,FALSE,1,0,3860,478,550,0,40953,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
117,1.12E+18,0,FALSE,0,0,25,16,204,0,133,FALSE,TRUE,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,FALSE
118,1.12E+18,0,FALSE,1,0,243,249,240,0,1963,FALSE,TRUE,1,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
119,1.12E+18,0,FALSE,1,0,0,743,1,1,8540,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
120,1.11E+18,0,FALSE,0,0,18255,605,4699,1,5093,FALSE,TRUE,0,FALSE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE
121,1.11E+18,0,FALSE,1,0,16,8479,4,0,6758,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
122,1.11E+18,0,FALSE,1,0,0,96,1,0,50788,FALSE,TRUE,0,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE
123,1.11E+18,0,FALSE,1,0,0,9407,978,17,118599,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
124,1.11E+18,0,FALSE,0,0,1,111,156,0,16989,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
125,1.11E+18,0,FALSE,1,0,8,302,122,0,704,FALSE,TRUE,1,FALSE,TRUE,TRUE,0,TRUE,FALSE,TRUE,FALSE
126,1.11E+18,0,FALSE,1,1,58642,525,1027,1,21995,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
127,1.11E+18,0,FALSE,1,0,169,3804,5002,0,49665,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
128,1.11E+18,0,FALSE,0,1,185,253,441,0,1114,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
129,1.11E+18,0,FALSE,1,0,1372,3106,1763,0,133155,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
130,1.11E+18,0,FALSE,1,0,118,539,204,0,459,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
131,1.11E+18,0,FALSE,1,0,213981,3752,4999,0,482764,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
132,1.11E+18,0,FALSE,1,3,5165,3388,1097,0,25763,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
133,1.11E+18,0,TRUE,0,0,0,0,7,0,1,FALSE,FALSE,3,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
134,1.11E+18,0,FALSE,1,0,37,89,234,0,1428,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
135,1.11E+18,0,FALSE,0,0,132,324,3223,0,22522,FALSE,TRUE,0,FALSE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE
136,1.11E+18,0,FALSE,1,0,0,1205,504,0,288177,FALSE,FALSE,0,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
137,1.11E+18,0,FALSE,1,0,15301,308,604,0,14107,FALSE,FALSE,2,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
138,1.11E+18,0,FALSE,1,2,1347,2113,262,0,452,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
139,1.11E+18,0,FALSE,1,0,90,289,202,0,621,FALSE,TRUE,1,FALSE,TRUE,TRUE,0,TRUE,FALSE,TRUE,FALSE
140,1.11E+18,0,FALSE,0,0,18255,605,4699,1,5093,FALSE,TRUE,0,FALSE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE
141,1.11E+18,0,FALSE,1,0,16,8479,4,0,6758,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
142,1.11E+18,0,FALSE,1,0,0,96,1,0,50788,FALSE,TRUE,0,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE
143,1.11E+18,0,FALSE,1,0,0,9407,978,17,118599,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
144,1.11E+18,0,FALSE,0,0,1,111,156,0,16989,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
145,1.11E+18,0,FALSE,1,0,8,302,122,0,704,FALSE,TRUE,1,FALSE,TRUE,TRUE,0,TRUE,FALSE,TRUE,FALSE
